频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,匹配信息,匹配值,轮回相似度,输出顺序
云南卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/69926_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/云南卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
新疆卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/69942_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/新疆卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
甘肃卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch21092610332476918454.rsc/92476_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/甘肃卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
青海卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/69945_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/青海卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
西藏卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/69953_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/西藏卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
兵团卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/69935_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/兵团卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
宁夏卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch25072809435815201156.rsc/103092_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/宁夏卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
山西卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118303484157828.rsc/70039_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/山西卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
陕西卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/70017_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/陕西卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
内蒙古卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/70041_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/内蒙古卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
宁夏卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch10120118321878054010.rsc/69948_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/宁夏卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
农林卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch10120118335748437793.rsc/69961_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/农林卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
厦门卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/74165_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/厦门卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
延边卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch23072116063432685915.rsc/98595_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/延边卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
三沙卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89705_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/三沙卫视.png,,卫视频道,,,,,,精准匹配,100.0,无,未排序
CETV1,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/74278_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/中国教育1.png,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CETV2,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/74298_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/中国教育2.png,,待确认分组,,,,,,精准匹配,100.0,无,未排序
CETV4,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/74289_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/中国教育4.png,,待确认分组,,,,,,精准匹配,100.0,无,未排序
四海钓鱼,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch22121315043920146188.rsc/96497_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/四海钓鱼.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
汽摩,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch23112715323902470603.rsc/99884_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/汽摩.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
生态环境,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch24111213061931833007.rsc/101604_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/生态环境.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
中华特产,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch22122209144768479365.rsc/98231_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/中华特产.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
中国交通,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch20110221445820405906.rsc/90479_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/中国交通.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
动漫秀场,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17121814421621825244.rsc/96206_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/动漫秀场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
金色学堂,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch16051316370413715540.rsc/70002_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/金色学堂.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
生活时尚,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch16051316300118213959.rsc/69982_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/生活时尚.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
都市剧场,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch16051316281593708406.rsc/69947_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/都市剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
乐游,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch16051316264757381898.rsc/69991_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/乐游.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
法治天地,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch16051316234089749497.rsc/96400_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/法治天地.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
游戏风云,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch16051316213602697345.rsc/70026_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/游戏风云.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
东方财经,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch16051316174673479081.rsc/96398_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/东方财经.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
精彩影视,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch21092610322847858391.rsc/92512_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/精彩影视.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
求索纪录,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch25041514142600797103.rsc/102871_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/求索纪录.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
谍战剧场,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch13031310523562855603.rsc/69987_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/谍战剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
城市剧场,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090914573308932938.rsc/70029_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/城市剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
军旅剧场,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090915023023311866.rsc/69969_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/军旅剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
古装剧场,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090915062673403232.rsc/70072_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/古装剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
经典剧场,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090915512437000823.rsc/70022_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/经典剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
武侠剧场,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090915591653040173.rsc/69952_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/武侠剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
热播剧场,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11060317301148954080.rsc/70000_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/热播剧场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
红色影院,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090915431474482038.rsc/70060_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/红色影院.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
家庭影院,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090916215642164569.rsc/70055_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/家庭影院.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
喜剧影院,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090916165898699737.rsc/70008_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/喜剧影院.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
动作影院,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090916164124642866.rsc/70004_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/动作影院.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
足球,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090915041757410943.rsc/69998_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/足球.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
军事,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090915223200641077.rsc/70054_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/军事.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
地理,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090915235866760733.rsc/70036_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/地理.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
精选,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090915484219614929.rsc/69955_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/精选.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
美人,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090916040665863835.rsc/69934_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/美人.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
鉴赏,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090916075722072184.rsc/69924_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/鉴赏.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
国学,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090916181970967371.rsc/69985_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/国学.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
星影,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090916302647677604.rsc/69967_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/星影.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
早教,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090916274339587371.rsc/69944_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/早教.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
墨宝,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090916235097407367.rsc/70062_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/墨宝.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
光影,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090916254772284807.rsc/69940_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/光影.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
戏曲,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090915581648434862.rsc/70031_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/戏曲.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
解密,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15090915530786226072.rsc/70033_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/解密.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
武术世界,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090915491066711905.rsc/69984_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/武术.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
美妆,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090915493052938184.rsc/70015_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/美妆.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
动画,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090915451711071162.rsc/70065_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/动画.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
好学生,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090916191459347432.rsc/70050_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/好学生.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
音乐现场,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15090914592145596821.rsc/70070_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/音乐现场.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
经典电影,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch11060317313622161494.rsc/69976_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/经典电影.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
少儿动画,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch11061217221377842336.rsc/70047_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/少儿动画.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
相声小品,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch13031310531244319435.rsc/70013_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/相声小品.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
魅力时尚,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217095691862636.rsc/70009_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/魅力时尚.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
IPTV野外,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch13031310535009021862.rsc/70024_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/IPTV野外.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
IPTV法治,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch13031310542255942002.rsc/70032_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/IPTV法治.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱体育,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch17120418224162657206.rsc/74292_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱体育.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱生活,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15090915560951747742.rsc/69929_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱生活.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱综艺,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217211688091136.rsc/69970_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱综艺.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱体育,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch11060317323358720349.rsc/69939_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱体育.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱电影,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11061217105732492560.rsc/69994_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱电影.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
爱大剧,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217231007675294.rsc/70034_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/爱大剧.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
海看演艺,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch23112315513709014787.rsc/99848_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/海看演艺.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
收视指南,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217035832697899.rsc/70025_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/收视指南.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
书画,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21092610331127874295.rsc/92486_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/书画.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
优优宝贝,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch22122209132553924896.rsc/98132_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/优优宝贝.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
金鹰卡通,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch24111213065813502431.rsc/101580_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/金鹰卡通.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
新动漫,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch21082717351468679466.rsc/92373_Uni.sdp,济南联通组播,https://raw.githubusercontent.com/plsy1/iptv/main/logo/新动漫.png,,数字频道,,,,,,精准匹配,100.0,无,未排序
